title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
Hyphen Buy Any 2 Products @ Rs.799 - Code BUY799,"Official Hyphen bundle deal: buy any 2 products for Rs.799 with code BUY799. Covers serums, sunscreens, moisturisers and lip balms.",BUY799,code,flat,0,Hyphen,https://letshyphen.com,Beauty & Health,2026-09-05,2026-10-05,,,https://letshyphen.com/collections/b2g1,,As bannered on official Hyphen offers collection. Not applicable on combos and gifts.,1,1,0,1
Minimalist Buy 2 Get 1 Free - Official B2G1 Offer,Official Minimalist B2G1 offer page: buy 2 get 1 free mechanics on beminimalist.co. Free shipping on every order plus Trust Circle rewards.,,deal,freebie,0,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/minimalist-b2g1-offer,,As per official Minimalist B2G1 offer page T&C. Cannot be clubbed with other coupon codes. One use per user where stated.,1,1,0,1
NEWME First Order 10% OFF Up To Rs.75 - Code FIRST10,NEWME welcome code tracked across coupon platforms and on-site policy listings: flat 10% off up to Rs.75 on orders above Rs.499 with code FIRST10.,FIRST10,code,percentage,10,NEWME,https://newme.asia,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://newme.asia/,,"New customers, min order Rs.499, max discount Rs.75. Confirm code works at checkout before paying.",1,0,0,1
Pilgrim Buy 1 Get 1 Free - Code B1G1,"Official Pilgrim offer (confirmed in brand FAQ): add minimum 2 products, apply code B1G1, the lower-value product is free.",B1G1,code,freebie,0,Pilgrim,https://discoverpilgrim.com,Beauty & Health,2026-09-05,2026-10-05,,,https://discoverpilgrim.com/pages/faq,,Minimum 2 items in cart; lowest-priced item free. Single item does not qualify. As per official Pilgrim FAQ.,1,1,0,1
Pilgrim Buy 2 Get 3 Free - Official Page Offer,Official Pilgrim promotion page: Buy 2 Get 3 Free mechanics on selected products. Login shows applicable coupons at checkout.,,deal,freebie,0,Pilgrim,https://discoverpilgrim.com,Beauty & Health,2026-09-05,2026-10-05,,,https://discoverpilgrim.com/pages/buy-2-get-3-free,,Per official Pilgrim Buy-2-Get-3 page. Login to reveal coupons; event-period only.,1,1,0,1
Plum Welcome Offer - Code PLUMFIRST on First Order,Official Plum welcome offer: extra savings on your first order with code PLUMFIRST. Storewide products already up to 12%+ off with extra Rs.50 off deals.,PLUMFIRST,code,percentage,12,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/plum-welcome-offer,,First orders on plumgoodness.com. See official welcome-offer collection for current savings. One use per user.,1,1,0,1
Plum Flat 30% OFF on Combos,"Official Plum combo sale: flat 30% off on curated combos - niacinamide, sunscreen and body lotion sets on plumgoodness.com.",,deal,percentage,30,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/30off-combos,,As listed on official Plum combos collection. Limited period.,1,1,0,1
Plum Deal of the Day - Up To 20% OFF + Extra Rs.50 OFF,"Official Plum deals collection: up to 20% off bestsellers (niacinamide serum Rs.349 to Rs.279, gel moisturiser, sunscreen) with extra Rs.50 off deals.",,deal,percentage,20,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/discounts-offers,,Live prices as listed on official Plum discounts collection; verify at checkout.,1,1,0,1
Snitch Flat 20% OFF Above Rs.4599 - Code FLAT20,Official Snitch coupon: flat 20% off on minimum purchase of Rs.4599. Use code FLAT20 at checkout on snitch.com.,FLAT20,code,percentage,20,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,Minimum order Rs.4599. As listed on official Snitch discounts page. One code per order.,1,1,0,1
The Derma Co Flat 30% OFF Above Rs.1499 - Code FLAT30,Official Derma Co coupon: flat 30% off all orders above Rs.1499 sitewide. Use coupon FLAT30 at cart on thedermaco.com.,FLAT30,code,percentage,30,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/bff-sale-meta,,Minimum order Rs.1499. As listed on official Derma Co sale collections.,1,1,0,1
The Derma Co 50% OFF Above Rs.2499 - Code GET50,Official Derma Co sale coupon: 50% off on orders above Rs.2499. Use code GET50 on the offer page.,GET50,code,percentage,50,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/offer-page,,Minimum order Rs.2499. Valid once per user; order limits apply per official T&C (Rs.2000 COD / Rs.5000 prepaid).,1,1,0,1
"Cetaphil Up To 21% OFF via Authorised Retailers (Amazon, Moglix)","Cetaphil India sells via authorised retailers: observed up to 21% off on sunscreens, cleansers and moisturiser combos on Moglix and up to 15% off on Amazon.in. No official sitewide coupon code exists.",,deal,percentage,21,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-05,2026-10-05,,,https://www.moglix.com/brands/cetaphil,,Retailer prices observed Sep 2026; verify live price at checkout. No coupon code - discount is in listed price.,0,0,0,1
Cetaphil Extra 5% OFF via Apollo Pharmacy Brand Pass,Apollo Pharmacy Cetaphil Brand Pass: extra 5% off on next Cetaphil personal-care orders plus 10% off other medicines with fast delivery.,,offer,percentage,5,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-05,2026-10-05,,,https://www.apollopharmacy.in/otc/cetaphil-brand-pass-get-5-off-on-your-next-6-cetaphil-personal-care-orders-10-off-on-other-medicines,,"Apollo Pharmacy pass T&C apply. Retailer offer, verify in Apollo app before purchase.",0,0,0,1
Cetaphil Gentle Cleansing + Moisturising Combo 8% OFF on Nykaa,"Observed live on Nykaa: Cetaphil Gentle Skin Cleanser + Moisturising Cream combo at Rs.1010 vs MRP Rs.1098 (8% off), 100% authentic sourced from Cetaphil.",,deal,percentage,8,Cetaphil,https://www.cetaphil.in,Beauty & Health,2026-09-05,2026-10-05,1098.00,1010.00,https://www.nykaa.com/cetaphil-gentle-cleansing-moisturizing-combo/p/1017250,https://images-static.nykaa.com/media/catalog/product/7/c/7c8878dNYKBNDCTP0010_1b.jpg,Retailer price observed Sep 2026; verify live price on Nykaa before purchase. No code needed.,0,0,0,1
Deconstruct Buy 2 @ Rs.599 / Buy 3 @ Rs.899 + 10% Dcoins Cashback,"Official Deconstruct bundle sale: buy 2 at Rs.599, buy 3 at Rs.899 on selected products plus 10% cashback as Dcoins.",,deal,cashback,10,Deconstruct,https://thedeconstruct.in,Beauty & Health,2026-09-05,2026-10-05,,,https://thedeconstruct.in/collections/buy-2-buy-3,,Selected products per official offer collection. Dcoins cashback per store wallet rules.,0,1,0,1
Deconstruct Combos Under Rs.999 + Up To 30% OFF on Combos,Official Deconstruct combo value: curated face and body combos under Rs.999 with up to 30% off plus 10% Dcoins cashback.,,deal,percentage,30,Deconstruct,https://thedeconstruct.in,Beauty & Health,2026-09-05,2026-10-05,,,https://thedeconstruct.in/collections/combo-999,,As listed on official Deconstruct combo collections. Dcoins per wallet rules.,0,1,0,1
Dot & Key Free Gift Above Rs.799 + 2 Gifts Above Rs.1049,"Official Dot & Key cart gifts: free gift auto-added above Rs.799, two free gifts above Rs.1049. Stacks with coupon codes.",,offer,freebie,0,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,Auto-added at cart level on dotandkey.com while stocks last. No code required.,0,1,0,1
Dot & Key Extra 5% OFF on Prepaid Orders,"Official Dot & Key offer: extra 5% off when you pay online via UPI, card or netbanking. Applies after coupon discount.",,offer,percentage,5,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,"Prepaid payment only, not COD. As listed on official offers page.",0,1,0,1
Dot & Key Buy Any 3 @ Rs.999 + Free Gift,Official Dot & Key bundle tier: any 3 products for Rs.999 plus 1 free gift auto-added.,,deal,flat,0,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,As listed on official Dot & Key offers page.,0,1,0,1
Dot & Key Flat 35% OFF on Combos + Free Gift,Official Dot & Key combo sale: flat 35% off curated regime combos plus free gift on select sets.,,deal,percentage,35,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/collections/combo-regimes,,As listed on official Dot & Key offers page.,0,1,0,1
Dot & Key Buy 2 Get 2 Free - Auto Applied,"Official Dot & Key BOGO event: add 4 products, 2 lower-priced go free at checkout. No code needed; plus 15% off layer on top during sale.",,deal,freebie,0,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,As bannered on official Dot & Key offers page. Event-period only.,0,1,0,1
Foxtale Sitewide Up To 20% OFF - Auto Applied,"Foxtale sitewide sale: up to 20% off automatically on serums, moisturisers, sunscreens and face wash at foxtale.in. Extra 5% off on prepaid orders.",,deal,percentage,20,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/,,"Discount auto-applies on site. Prepaid bonus needs UPI/card/netbanking, not COD. Price may change anytime.",0,1,0,1
Foxtale Up To 15% OFF - Code DETAN15,Official Foxtale banner code: up to 15% off on all products with code DETAN15 at checkout on foxtale.in.,DETAN15,code,percentage,15,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/pages/rewards,,As bannered on official Foxtale site. Cannot be combined with other codes.,0,1,0,1
Foxtale Refer & Earn - Wallet Credits for You and Friend,"Official Foxtale Refer & Earn: share your link, both referrer and new user get wallet credits on first qualifying purchase. Combines with coupon codes.",,offer,cashback,0,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/pages/rewards-and-referral,,Per official Foxtale Rewards & Referral page. Credits after qualifying purchase.,0,1,0,1
Foxtale Buy 3 at Rs.1099 Value Bundle,"Foxtale value bundle: any 3 qualifying mid-range products for Rs.1099 total (approx 30-40% vs individual). Free shipping on prepaid, COD Rs.40 fee.",,deal,flat,0,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/collections/all-combos,,Bundle composition as listed by coupon trackers; confirm live bundle on foxtale.in before purchase.,0,0,0,1
Hyphen Buy Any 3 Products @ Rs.1149 - Code BUY1149,"Official Hyphen bundle deal: buy any 3 products for Rs.1149 with code BUY1149, including peptide lip balms and sunscreens.",BUY1149,code,flat,0,Hyphen,https://letshyphen.com,Beauty & Health,2026-09-05,2026-10-05,,,https://letshyphen.com/collections/b2g1,,As bannered on official Hyphen offers collection. Not applicable on combos and gifts.,0,1,0,1
Hyphen 10% HyCash on Every Order - App Redeem Up To 25%,Official Hyphen loyalty (per FAQ): earn 10% of order value as HyCash on every purchase; redeem up to 25% of cart value on app orders.,,offer,cashback,10,Hyphen,https://letshyphen.com,Beauty & Health,2026-09-05,2026-10-05,,,https://letshyphen.com/pages/faq,,App users only; auto-enrolled on account creation. Per official Hyphen FAQ.,0,1,1,1
Hyphen Juicy Lips Kit - 3 Lip Balms Bundle Deal,"Official Hyphen lip kit: Juicy Lips Trio / Juicy Lips or Nothing Kit bundles 3 peptide lip balms (Vanilla, Peach, Lipscreen SPF 30) for 24-hr moisture. Kit pricing beats singles.",,deal,percentage,0,Hyphen,https://letshyphen.com,Beauty & Health,2026-09-05,2026-10-05,,,https://letshyphen.com/products/juicy-lips-or-nothing-kit,,Bundle contents per official Hyphen product page; confirm live kit price at checkout.,0,1,0,1
Minimalist Skin Repair Kit - Up To 33% OFF + Freebies,Official Minimalist kit offer: up to 33% off curated kits with extra bundle savings and free surprise gift on orders above Rs.1199 (auto-added at checkout).,,deal,percentage,33,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/kits-offer,,As per official Minimalist kit offer pages. Free gift auto-added above Rs.1199. Not clubbable with other discounts.,0,1,0,1
Minimalist Free Shipping on All Orders + MCash Rewards,Official Minimalist policy: free shipping on every order. Earn MCash cashback (1 MCash = Rs.1) on each purchase for next-order discounts.,,offer,freebie,0,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/,,Standard store policy on beminimalist.co. MCash credited per store rules.,0,1,0,1
Minimalist Buy 3 Get 4th Free,"Official Minimalist bundle: buy 3, get your 4th product free. Plus free surprise gift above Rs.1199 auto-added.",,deal,freebie,0,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/rewards-1,,As listed on official Minimalist rewards page. Cannot be clubbed with other codes.,0,1,0,1
Minimalist Buy 2 Get Free Salicylic Acid Cleanser 100ml,"Official Minimalist gift: buy 2, get a free Salicylic Acid Cleanser (100ml). Trust Circle rewards on every order.",,offer,freebie,0,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/rewards-1,,As listed on official Minimalist rewards page. While stocks last.,0,1,0,1
Minimalist Paytm Special - Buy 2 Get Free Glass Bottle,Official Minimalist bank-offer page: buy 2 (Rs.499+) and get a free glass bottle. Valid once per user on all products.,,offer,freebie,0,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/minimalist-paytm-offer-landing-page,,"Minimum Rs.499, one use per user, not clubbable. Per official offer page.",0,1,0,1
Minimalist Tribe Review Cashback - 50% Wallet Credit,Official MinimalistTribe program: submit an eligible review and get 50% of net order value as wallet cashback for future purchases on beminimalist.co.,,offer,cashback,50,Minimalist,https://beminimalist.co,Beauty & Health,2026-09-05,2026-10-05,,,https://beminimalist.co/pages/minimalist-tribe-terms-and-conditions,,Limited-time official program; confirm live status and eligibility on site before participating.,0,1,0,1
NEWME Flat 15% OFF on App Purchases,"NEWME app-exclusive: flat 15% off when you shop via the NEWME mobile app (COD available across India, 200+ new styles daily).",,offer,percentage,15,NEWME,https://newme.asia,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://apps.apple.com/us/app/newme-unleash-your-style/id6445953273,,App orders only per third-party coupon listings; confirm the 15% banner inside the NEWME app before checkout.,0,0,1,1
NEWME Free Surprise Return Gift on App Orders Above Rs.1199,Official NEWME announcement: add products worth Rs.1199+ in the NEWME app to unlock a surprise-gift section and pick a free return gift at checkout.,,offer,freebie,0,NEWME,https://newme.asia,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://newme.asia/,,"App-only event offer announced on official NEWME channel. Limited period, while gifts last.",0,1,1,1
NEWME Refer & Earn Up To Rs.500,Official NEWME refer-and-earn page: refer friends and earn up to Rs.500 in rewards when they shop. No code needed.,,offer,cashback,500,NEWME,https://newme.asia,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://newme.asia/refer-and-earn,,Per official NEWME refer-and-earn page. Rewards on qualifying referred purchases.,0,1,0,1
NEWME Up To 70% OFF Sitewide + Free Shipping Above Rs.999,"NEWME sale: up to 70% off sitewide on dresses, tops and co-ords with extra 10% layers, plus free shipping above Rs.999 and COD available.",,deal,percentage,70,NEWME,https://newme.asia,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://newme.asia/,,Sale prices as listed on newme.asia and coupon trackers; verify live prices at checkout.,0,0,0,1
Pilgrim Up To 35% OFF Sitewide Collection,"Official Pilgrim sale collection: up to 35% off serums, sunscreens, hair care and kits, with extra coupon pricing on login at discoverpilgrim.com.",,deal,percentage,35,Pilgrim,https://discoverpilgrim.com,Beauty & Health,2026-09-05,2026-10-05,,,https://discoverpilgrim.com/collections/upto-35-off,,As listed on official Pilgrim up-to-35%-off collection. Best coupon codes shown at checkout when logged in.,0,1,0,1
PilgrimTRIBE Loyalty Rewards + Ambassador Discounts,Official Pilgrim loyalty and ambassador programs: earn PilgrimMILES/Tribe rewards on purchases; ambassadors share up to 30% audience discount codes per official affiliates page.,,offer,cashback,0,Pilgrim,https://discoverpilgrim.com,Beauty & Health,2026-09-05,2026-10-05,,,https://discoverpilgrim.com/pages/affiliates,,Join free on discoverpilgrim.com. Ambassador codes are per-creator; rewards per program T&C.,0,0,0,1
Plum Free Full-Size Product on Orders Above Rs.999,"Official Plum gift offer: pick a free full-size Plum product on orders above Rs.999, plus free travel-size gifts above Rs.699. Auto perks at checkout.",,offer,freebie,0,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/discounts-offers,,Threshold gifts as bannered on plumgoodness.com. While stocks last.,0,1,0,1
Plum Any 3 at 20% OFF,Official Plum bundle: any 3 products at 20% off on plumgoodness.com. Plus free travel-size perfume above Rs.699 and body mist above Rs.1599.,,deal,percentage,20,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/any-3-at-20-off,,As listed on official Plum any-3 collection. Gift thresholds auto-apply.,0,1,0,1
Plum Free Travel-Size Perfume Above Rs.699 + Body Mist Above Rs.1599,"Official Plum gift tiers: free travel-size perfume above Rs.699, free full-size body mist above Rs.1599, auto perks at checkout.",,offer,freebie,0,Plum,https://plumgoodness.com,Beauty & Health,2026-09-05,2026-10-05,,,https://plumgoodness.com/collections/any-3-at-20-off,,As bannered on official Plum collections. While stocks last.,0,1,0,1
Snitch Flat 15% OFF Above Rs.2999 - Code FLAT15,Official Snitch coupon: flat 15% off on minimum purchase of Rs.2999. Use code FLAT15 at checkout.,FLAT15,code,percentage,15,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,Minimum order Rs.2999. As listed on official Snitch discounts page.,0,1,0,1
Snitch Flat 10% OFF First App Purchase - Code APP10,Official Snitch app-exclusive: flat 10% off your first app purchase with code APP10. Download the Snitch app to redeem.,APP10,code,percentage,10,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,"App orders only, first purchase. As listed on official Snitch discounts page.",0,1,1,1
Snitch Flat 15% OFF Sitewide - Code BFCM15,Official Snitch sale coupon: flat 15% off sitewide with code BFCM15.,BFCM15,code,percentage,15,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,As listed on official Snitch discounts page. Sale-period coupon.,0,1,0,1
Snitch Flat 10% OFF Above Rs.1999 - Code FLAT10,Official Snitch coupon: flat 10% off on minimum purchase of Rs.1999 with code FLAT10.,FLAT10,code,percentage,10,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,Minimum order Rs.1999. As listed on official Snitch discounts page.,0,1,0,1
SnitchX Membership - Free Shipping + Early Access + Gifts,"Official SnitchX program: free shipping on all orders, extended 30-day exchange, early access to collections, member-only offers and milestone gifts above Rs.1500.",,offer,freebie,0,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.com/snitch-x-perks,,Per official SnitchX perks and T&C pages. Benefits vary by campaign.,0,1,1,1
Snitch Save Rs.100 COD Fee on Prepaid Orders,Official Snitch checkout perk: prepaid orders skip the Rs.100 COD charge plus faster delivery on snitch.com.,,offer,flat,100,Snitch,https://www.snitch.com,Fashion & Lifestyle,2026-09-05,2026-10-05,,,https://www.snitch.co.in/pages/snitch-discounts,,Prepaid payment only. As noted on official Snitch discounts page.,0,1,0,1
The Derma Co Buy 2 Get 2 Free - Code B2G2,Official Derma Co freebie coupon: buy 2 get 2 free on selected products. Use coupon B2G2 at cart.,B2G2,code,freebie,0,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/freebies,,Selected products only. As listed on official Derma Co freebies collection.,0,1,0,1
The Derma Co Buy Any 3 Pay for 2 - Code B3P2,Official Derma Co coupon: buy any 3 pay for 2. Use coupon B3P2 at cart on thedermaco.com.,B3P2,code,freebie,0,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/b3p2,,As listed on official Derma Co B3P2 collection.,0,1,0,1
The Derma Co 2 Bestsellers Free Above Rs.599 - Code 2FREEBIE,Official Derma Co coupon: get 2 bestsellers free on orders above Rs.599. Use code 2FREEBIE at cart.,2FREEBIE,code,freebie,0,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/eps-get-2freebie-on-599,,Minimum order Rs.599. As listed on official Derma Co collection.,0,1,0,1
The Derma Co Up To 35% OFF + 2 Freebies Above Rs.899 - Code MEGAOFFER,Official Derma Co coupon: up to 35% off plus 2 freebies on all orders above Rs.899 with code MEGAOFFER.,MEGAOFFER,code,percentage,35,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/freebies,,Minimum order Rs.899. As listed on official Derma Co freebies collection.,0,1,0,1
The Derma Co Buy Any 2 @ Rs.799 - Code RUSH799,Official Derma Co bundle coupon: buy any 2 products at Rs.799 with code RUSH799 at cart.,RUSH799,code,flat,0,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/offer-page,,As listed on official Derma Co offer page.,0,1,0,1
The Derma Co Wallet Cashback Within 24 Hours of Delivery,Official Derma Co perk: promotional cashback credited to your Derma wallet within 24 hours of successful delivery for future orders.,,offer,cashback,0,The Derma Co,https://thedermaco.com,Beauty & Health,2026-09-05,2026-10-05,,,https://thedermaco.com/collections/offer-page,,Per official Derma Co offer page Q&A. Order limits apply.,0,1,0,1
